['0812', 0.40400777755636325] 

['0812', 0.40400777755636325] 

['0812', 0.40400777755636325] 

['x80 x9d98 xe2', 0.33710578723160883] 

['x9d98 xe2 x80', 0.33710578723160883] 

['xe2 x80 x9d9', 0.33710578723160883] 

['the vast armies', 0.31284983120598864] 

['arranged', 0.30462040156209846] 

['jews browning', 0.2323670381392007] 

['mcafee and brynjolfsson', 0.22564082520521495] 

['vile it', 0.21863138193366677] 

['x80 xa0 67', 0.19946903719877665] 

['xa0 91 xe2', 0.19946903719877665] 

['xa0 91 xe2', 0.19946903719877665] 

['support the fetus', 0.19885837305535609] 

['the practices of', 0.19624390159004373] 

['pre announced', 0.1922275732052067] 

['sacrifice it is', 0.19128514144051378] 

['self sacrifice 17', 0.19128514144051378] 

['the optimal number', 0.18321216932542345] 

['actual birth rate', 0.18243697040279702] 

['embrace the idea', 0.18164253930877824] 

['shiffrin 1999 less', 0.17739809287072347] 

['shiffrin 1999 less', 0.17739809287072347] 

['consent will not', 0.17665044566217086] 

['the practical possibil', 0.17500337955328363] 

['save the archbishop', 0.17469349417477487] 

['x80 x94 positive', 0.17325938166971144] 

['x94 to', 0.17325938166971144] 

['pets are', 0.1606356713654999] 

['x80 x99 generalisation', 0.15957017754971475] 

['x99 it is', 0.15957017754971475] 

['perfect this is', 0.15495237714593962] 

['hypothetical 46 id', 0.15309931719877834] 

['and homicidal', 0.15034589011484636] 

['honest nand', 0.15034589011484636] 

['bad thing', 0.14908788569936957] 

['magnitude more broome', 0.14800048742037852] 

['moral or ethical', 0.14688460976826384] 

['the case we', 0.14600770579529962] 

['are optimistic', 0.1450542307388735] 

['does then', 0.1449294066238897] 

['2x0 32 nmean', 0.14471373888450592] 

['and deeply remorseful', 0.14037082116505534] 

['x80 xa0 25', 0.1402208836558469] 

['wendell ford of', 0.14007394854378788] 

['term to', 0.13998096015006278] 

['intention on', 0.1397954830686301] 

['morally than the', 0.1395841200503208] 

['does the legal', 0.1383784798567335] 

['broome notes', 0.13801059287655873] 

['room for much', 0.13734309554632643] 

['would right', 0.13650797182822205] 

['would right', 0.13650797182822205] 

['defence should', 0.13412455554952715] 

['each marauder', 0.13137434568469614] 

['saving her life', 0.13088307515004297] 

['and mcmahan in', 0.13083590651884694] 

['inmates', 0.13072121600761366] 

['bad is just', 0.1295761984412043] 

['bad is just', 0.1295761984412043] 

['obligations to the', 0.1295426143721548] 

['and hit his', 0.1290846066452175] 

['harsh and', 0.1290846066452175] 

['harsh and', 0.1290846066452175] 

['homicide than', 0.1290846066452175] 

['homicide than', 0.1290846066452175] 

['xa9 the', 0.1290846066452175] 

['a27p55 2014 n791', 0.12728059520885515] 

['the argu ment', 0.1262396818957249] 

['term person', 0.12598286413505644] 

['what grounds liability', 0.12586224433745505] 

['guy', 0.12566786041938857] 

['morality that is', 0.12428832292181745] 

['defence of the', 0.12216350478390897] 

['in boycott', 0.12206497928271184] 

['and deeply remorseful', 0.12173800526262116] 

['injustice to their', 0.12173800526262116] 

['study rationality and', 0.12063434487792862] 

['her claim that', 0.12057953336748616] 

['of likelihood of', 0.1204951956769529] 

['x94 remembering of', 0.12033563330036032] 

['option sets third', 0.12002973009108933] 

['guttmacher inst', 0.11925917281650178] 

['in both the', 0.11769055598591095] 

['entails an', 0.11678250325129871] 

['action of the', 0.11610489984522314] 

['demonstrate that', 0.11531395937324708] 

['conception of harming', 0.11471612806398568] 

['x99 he then', 0.1138259690903681] 

['cost of not', 0.11379425676431637] 

['applying the specific', 0.11374261011503779] 

['arrangement believe that', 0.11369711815515388] 

['her own existence', 0.1129000658030494] 

['minimize expected impermissibility', 0.11236834804706398] 

['benefit someone', 0.11089922433424251] 

['broad limits', 0.11085713483047842] 

['endorsed by both', 0.11083813369586996] 

['pi and', 0.10924184053602984] 

['possible the', 0.10817288338824928] 